	freebase_ids	awards
0	/m/0kcn7	Academy Award for Best Actress,Academy Award for Best Visual Effects,Academy Award for Best Original Song,Academy Award for Best Film Editing,Academy Award for Best Original Score
1	/m/016ywb	Academy Award for Best Costume Design,National Board of Review Award for Best Director,BAFTA Award for Best Direction,European Film Award for Best Actor,Young European Film of the Year,National Board of Review: Top Ten Films
2	/m/02qc0j7	Academy Award for Best Score, Adaptation or Treatment
3	/m/04mhwd	Sitges Film Festival Best Director award
4	/m/0gyryjt	National Prize of East Germany
5	/m/02rc_h4	
6	/m/0by1_ff	
7	/m/04m_wkg	
8	/m/03c0d85	
9	/m/0g4zl4c	
10	/m/02vn81r	
11	/m/05p89qm	
12	/m/04wy0v	
13	/m/04j284s	
14	/m/04jcqvw	
15	/m/05b6cft	
16	/m/08yl5d	
17	/m/01p0lg	
18	/m/0crvlhb	
19	/m/0734w5	
20	/m/0crgdbh	
21	/m/0fc8w8	
22	/m/0b6c_nw	
23	/m/0285_cd	
24	/m/02rm6l8	
25	/m/04j1nd9	
26	/m/03ymtlq	
27	/m/05c4bry	
28	/m/02r52hc	
29	/m/0g5qvzg	
30	/m/0gjd9qv	
31	/m/02q74ng	
32	/m/04j0lfk	
33	/m/03cfc81	
34	/m/09rzk6	
35	/m/06_y54s	
36	/m/0cws46	
37	/m/06_y2j7	
38	/m/0gjd9q4	
39	/m/02pjlrp	
40	/m/017n1p	
41	/m/0gj8s31	
42	/m/06_vg9f	
43	/m/0fq260_	
44	/m/0f400r	
45	/m/02vlbrf	
46	/m/0gy0wck	
47	/m/0gj93w4	
48	/m/0dyy_v	
49	/m/01mrr1	
50	/m/07v6f3	
51	/m/04zyc0t	
52	/m/0crx1wl	
53	/m/075f66	
54	/m/0b6kc_5	
55	/m/05p45cv	
56	/m/04cqrs4	
57	/m/03grb4v	
58	/m/0bm9993	
59	/m/01mrrd	
60	/m/07h9zj	
61	/m/0kv612	
62	/m/0bh9fbk	
63	/m/05bzp6g	
64	/m/0dll97s	
65	/m/03cfwy4	
66	/m/04x8zs	
67	/m/03c_x01	
68	/m/0gffwj	
69	/m/0gj30jx	
70	/m/0523t_1	
71	/m/04q6md9	
72	/m/080bxrj	
73	/m/05pckh0	
74	/m/0gyv1h1	
75	/m/07s63_7	
76	/m/02wjqm	
77	/m/017n1b	
78	/m/02r8pmz	
79	/m/05f5_5y	
80	/m/0fdc85	
81	/m/0h10pz	
82	/m/02pml15	
83	/m/0gg5xnj	
84	/m/07kjkz6	
85	/m/02w1jsk	
86	/m/05b0lk8	
87	/m/02x4zpv	
88	/m/0h964n1	
89	/m/061l7z	
90	/m/05f6kpj	
91	/m/03vyhn	
92	/m/047t9rb	
93	/m/0kv1zq	
94	/m/0g4_n3m	
95	/m/0gh7n22	
96	/m/014k4y	
97	/m/02vlsqt	
98	/m/0gh8wn7	
99	/m/0f0d1p	
100	/m/04dld6	Golden Lion
101	/m/047m_z2	Academy Award for Best Documentary (Short Subject)
102	/m/015wmt	National Board of Review: Top Ten Films
103	/m/0h541q3	
104	/m/0gynvg5	
105	/m/04n2zzq	
106	/m/0cm89jx	
107	/m/02qcf9g	
108	/m/0jwy73v	
109	/m/027_08f	
110	/m/02z3p78	
111	/m/0bvx7h	
112	/m/02vr6k0	
113	/m/0286kkz	
114	/m/0g08ws	
115	/m/0h9562r	
116	/m/0br_wmf	
117	/m/04mnqv6	
118	/m/0cz9fjr	
119	/m/0g1yx5	
120	/m/05p0zkv	
121	/m/0h_92lt	
122	/m/01bwgr	
123	/m/0dgrk23	
124	/m/026ccts	
125	/m/04j0jtp	
126	/m/04y7q1b	
127	/m/04f1_g9	
128	/m/02rpz18	
129	/m/0gm34c	
130	/m/0gh6n43	
131	/m/0djbd6g	
132	/m/03nrw6d	
133	/m/05j038	
134	/m/0kv80y	
135	/m/0crj1f3	
136	/m/07jwzw	
137	/m/07sb8_t	
138	/m/0h_9kln	
139	/m/04jkr54	
140	/m/027d9tv	
141	/m/07k8x7p	
142	/m/02qq3mb	
143	/m/0k0hkgm	
144	/m/03813g	
145	/m/03_wh5	
146	/m/0h54gth	
147	/m/0g9wcrn	
148	/m/0bhbzbr	
149	/m/02x6tkq	
150	/m/0hndjzb	
151	/m/0h3wy16	
152	/m/09hngs	
153	/m/06qv1c	
154	/m/06wbrsg	
155	/m/02w5vj3	
156	/m/043j2x	
157	/m/0kv7ps	
158	/m/07vz8r	
159	/m/08_f1r	
160	/m/0j3h2kb	
161	/m/064kyn2	
162	/m/06_y54c	
163	/m/015wmg	
164	/m/0b4f1s	
165	/m/09gnwkp	
166	/m/02z63mv	
167	/m/03wggk7	
168	/m/0kvbmd	
169	/m/09kzfd	
170	/m/018qbn	
171	/m/02w41jc	
172	/m/05p3428	
173	/m/06zrc_8	
174	/m/05v5ws	
175	/m/09yd9c	
176	/m/03d57tv	
177	/m/0479c20	
178	/m/0cnxjzx	
179	/m/09pgd14	
180	/m/04rjwf	
181	/m/0fp_syp	
182	/m/0h95z9x	
183	/m/0bf0hf	
184	/m/047q7xf	
185	/m/03cbkd2	
186	/m/09v6_q1	
187	/m/0gy0rwv	
188	/m/02qkn7c	
189	/m/09vnx57	
190	/m/04yc5nd	
191	/m/03cbvzw	
192	/m/04jfr7g	
193	/m/05fb20v	
194	/m/0286_1d	
195	/m/0b6dn1z	
196	/m/04cx2r5	
197	/m/0bh97tj	
198	/m/0g5sf9m	
199	/m/0bd62lc	
200	/m/0ds11z	Academy Award for Best Production Design,National Board of Review: Top Ten Films
