	freebase_ids	awards
0	/m/07m08h	"Merited Artist of the RSFSR,State Stalin Prize, 1st degree,State Stalin Prize, 1st degree,Stalin Prize, 2nd degree,People's Artist of the RSFSR,Order of Lenin,Order of Lenin,Order of Lenin,People's Artist of the USSR,Order of the Red Banner of Labour,Order of the Red Banner of Labour,Order of the Red Star,Order of the October Revolution,Jubilee Medal ""In Commemoration of the 100th Anniversary of the Birth of Vladimir Ilyich Lenin"",""Hammer and Sickle"" gold medal,Medal ""For Distinguished Labour"",People's Artiste of the Azerbaijan SSR,Medal ""Veteran of Labour"",Jubilee Medal ""Thirty Years of Victory in the Great Patriotic War 1941–1945"",Medal ""For Valiant Labour in the Great Patriotic War 1941–1945"",Medal ""In Commemoration of the 800th Anniversary of Moscow"",Prize of the Ministry of Internal Affairs of Russia"
1	/m/02d7rn	Mainichi Film Award for Best Screenplay,Blue Ribbon Awards for Best Director,Mainichi Film Award for Best Director
2	/m/01f7dd	Romics d'Oro,Honorary Golden Bear,Independent Spirit Awards,Donostia Award,Volpi Cup for Best Actor,Satellite Awards,Saturn Award
3	/m/05zs55n	Kinuyo Tanaka Award
4	/m/04ghdvq	The Hedda Award for Best Supporting Actress,Hedda Award,Amanda Award for Best Actress,Amanda Award for Best Supporting Actress
5	/m/0418ft	Time Machine Award
6	/m/0338ws	Lunt-Fontanne Award for Ensemble Excellence
7	/m/016fjj	Sitges Grand Honorary Award,Academy Award for Best Supporting Actor,BAFTA Award for Best Actor in a Supporting Role,Theatre World Award,Clarence Derwent Awards
8	/m/0chg_3	Blue Ribbon Awards for Best Actor,Blue Ribbon Awards for Best Supporting Actor,Japan Academy Prize for Outstanding Performance by an Actor in a Leading Role,Medal with Purple Ribbon,Order of the Rising Sun,Mainichi Film Award for Best Actor
9	/m/07kt8y	"Merited Artist of the RSFSR,People's Artist of the RSFSR,Order of Lenin,Nika Award,People's Artist of the USSR,Order of the Red Banner of Labour,TEFI,Medal ""In Commemoration of the 850th Anniversary of Moscow"",Vasilyev Brothers State Prize of the RSFSR,Order ""For Merit to the Fatherland"", 2nd class,Order ""For Merit to the Fatherland"", 4th class,Medal ""Veteran of Labour"",Golden Eagle Awards,Jubilee Medal Medal ""In Commemoration of the 250th Anniversary of Leningrad"",Medal ""In Commemoration of the 300th Anniversary of Saint Petersburg"",Kinotavr,The Crystal Turandot,Russian Federation Presidential Certificate of Gratitude,Prize of the Ministry of Internal Affairs of Russia"
