	freebase_ids	awards
10	/m/0h1_w	Academy Award for Best Actor,Academy Award for Best Actor,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play,star on Hollywood Walk of Fame
11	/m/015gy7	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Tony Award for Best Actor in a Play,star on Hollywood Walk of Fame
12	/m/02149s	Seiun Awards,Inkpot Award,Bram Stoker Awards,Dragon Con
13	/m/01_x6d	Primetime Emmy Award for Outstanding Animated Program,Primetime Emmy Award for Outstanding Animated Program,Primetime Emmy Award for Outstanding Animated Program,Primetime Emmy Award for Outstanding Animated Program,Peabody Awards,Laurence Olivier Award for Best New Musical
14	/m/09k3x_	Heinrich Mann Prize,Cicero Orator Prize,Deutscher Hörbuchpreis,Friedrich-Baur-Preis,Preis der Literaturhäuser,Cross of the Order of Merit of the Federal Republic of Germany,Friedlieb Ferdinand Runge-Preis
15	/m/09d6hv	Askania Award
16	/m/02l6dy	Theatre World Award
17	/m/08392m	Nastro d'Argento for Best Supporting Actor,Knight Grand Cross of the Order of Merit of the Italian Republic
18	/m/04fd3kh	Golden Orange Best Actress Award,Golden Orange Best Actress Award,Golden Orange Life Achievement Award
19	/m/01vw26l	star on Hollywood Walk of Fame,Ice Cube Impact Award
20	/m/02v1vq	Americana Lifetime Achievement Award for Performance
21	/m/0576kw	Blue Ribbon Awards for Best Actress,Mainichi Film Award for Best Actress
22	/m/09rnmn	"Merited Artist of the RSFSR,People's Artist of the RSFSR,Jubilee Medal ""Forty Years of Victory in the Great Patriotic War 1941–1945"",Medal ""Veteran of Labour"",Jubilee Medal ""Thirty Years of Victory in the Great Patriotic War 1941–1945"",Order of the Red Star,Medal ""For the Defence of Leningrad"",Medal ""For Valiant Labour in the Great Patriotic War 1941–1945"",Jubilee Medal Medal ""In Commemoration of the 250th Anniversary of Leningrad"",Medal ""In Commemoration of the 800th Anniversary of Moscow"""
23	/m/02qyp1n	National Prize of East Germany,Order of Karl Marx,Artur Becker Medal,Patriotic Order of Merit in Gold
24	/m/0jt1q2	Order of the Badge of Honour
25	/m/028pzq	39th David di Donatello Awards,42nd David di Donatello Awards
26	/m/01lr4p	star on Hollywood Walk of Fame
27	/m/0173p_	star on Hollywood Walk of Fame
28	/m/07g4h_	star on Hollywood Walk of Fame
29	/m/02r5d3j	
30	/m/05wxzz	
31	/m/026qxz	
32	/m/0g4_ncc	
33	/m/0d15j6	
34	/m/05zqdwf	
35	/m/0bgcj4f	
36	/m/08w75d	
37	/m/0k1vd2	
38	/m/034dbm	
39	/m/02pnjkh	
40	/m/0lr37gh	
41	/m/03wc_yl	
42	/m/0g4_nbq	
43	/m/094qth	
44	/m/0ddztn	
45	/m/0dm38rk	
46	/m/0g4_ncv	
47	/m/0jt1lz	
48	/m/03ccs9p	
49	/m/0cc9plh	
50	/m/0ks8b0	
51	/m/01lntp	
52	/m/0jtg3n	
53	/m/0g4_nc5	
54	/m/07jbhb	
55	/m/0g4_ncy	
56	/m/0bwh7d8	
57	/m/0g4_nb_	
58	/m/0g98dwd	
59	/m/0gdk_8f	
60	/m/0gz5hs	
61	/m/034hyc	
62	/m/0gbxsl5	
63	/m/0clffnj	
64	/m/0g4_ncr	
65	/m/0346l4	
66	/m/0h8pnlw	
67	/m/05pxr49	
68	/m/03nrwdy	
69	/m/03cxtgs	
70	/m/01y9xg	
71	/m/03d663h	
72	/m/01nz7jg	
73	/m/02cm2m	
74	/m/0bgchsp	
75	/m/041b8d	
76	/m/026zpch	
77	/m/06prxs	
78	/m/0gc9cpb	
79	/m/06lj1m	
80	/m/0gct1by	
81	/m/01qbb_	
82	/m/02q288g	
83	/m/0g4_nck	
84	/m/03ydsb	
85	/m/06s5pl	
86	/m/03wcfv7	
87	/m/0gcdnn4	
88	/m/0287qtg	
89	/m/0bg70sm	
90	/m/0k0jml	
91	/m/034c1p	
92	/m/0g98ds4	
93	/m/0bgcht7	
94	/m/0g4_nd0	
95	/m/0k0jn4	
96	/m/053j7xf	
97	/m/0dw3l	
98	/m/03z8yd9	
99	/m/0785v8	
100	/m/01vw8mh	WWE Hall of Fame,MTV Video Music Award for Best Rap Video,MTV Video Music Award for Best Art Direction,MTV Movie Award for Best Cameo,BET Award for Best Collaboration,star on Hollywood Walk of Fame,American Music Award for Favorite Rap/Hip-Hop Artist
101	/m/0436kgz	Goya Awards,Donostia Award,European Film Award for Best Actor,Theatre World Award,Gold Medal of Merit in the Fine Arts,European Film Academy Achievement in World Cinema Award,Jameson People's Choice Award for Best Actor,GLAAD Vanguard Award,Dearest Son of Andalusia,Medal and Plaque of Tourist Merit,star on Hollywood Walk of Fame,Sitges Grand Honorary Award,Drama Desk Award for Outstanding Actor in a Musical,Platino Honorary Award,Galardón Camino Real,Medalla de Oro
102	/m/04znsy	Academy Award for Best Supporting Actress,BAFTA Award for Best Actress in a Supporting Role,Golden Globe Award for Best Supporting Actress – Motion Picture
103	/m/07hpqm	National Film Award for Best Actress,National Film Award for Best Actress,Filmfare Award for Best Actress,Padma Shri in arts
104	/m/03vfjv	Silver Shell for Best Actress,Silver Shell for Best Actress,Silver Bear for Best Actress,Premios Ondas,Gold Medal of Merit in the Fine Arts,European Film Academy Achievement in World Cinema Award,Goya Award for Best Actress
105	/m/061zc_	Filmfare Special Award,Filmfare Special Award,Padma Bhushan,IIFA Lifetime Achievement Award,Zee Cine Award for Lifetime Achievement,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Lifetime Achievement Award,BFJA Awards for Best Actor,BFJA Awards for Best Actor,BFJA Awards for Best Actor,BFJA Awards for Best Actor
106	/m/032zg9	Golden Globe Award for Best Actor – Miniseries or Television Film
107	/m/07tcjt	Filmfare Award for Best Supporting Actress,Filmfare Lifetime Achievement Award
108	/m/02fbpz	Padma Bhushan,National Film Award for Best Actor,National Film Award for Best Actor,Kerala State Film Award for Best Actor,Padma Shri in arts
109	/m/01ngvm	Guggenheim Fellowship,National Endowment for the Arts Fellowship
110	/m/0blbxk	NAACP Image Award for Outstanding Supporting Actress in a Motion Picture,NAACP Image Award for Outstanding Actress in a Television Movie, Mini-Series or Dramatic Special,NAACP Image Award for Outstanding Supporting Actress in a Drama Series,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,Lucy Award,star on Hollywood Walk of Fame,Women of the Year
111	/m/0cg5b04	Gold Medal of Merit in the Fine Arts
112	/m/0jlv5	Chevalier des Arts et des Lettres,Asian Film Award for Best Actress,Golden Horse Award for Best Leading Actress
113	/m/02hkw6	National Film Award for Best Supporting Actor,Filmfare Award for Best Actor – Malayalam,Kerala State Film Award for Best Actor
114	/m/0fy2s1	National Film Award for Best Supporting Actress,Filmfare Awards South,Padma Shri in arts
115	/m/02pp77c	Filmfare Awards South
116	/m/07l4md	Kerala State Film Award for Best Actor
117	/m/06_1tj	Paljas
118	/m/03q8vb	star on Hollywood Walk of Fame
119	/m/0grjc6	star on Hollywood Walk of Fame
120	/m/0dxnfv	star on Hollywood Walk of Fame
121	/m/04rfng	Asia's Most Influential Taiwan,Asia's Most Influential Taiwan
122	/m/027dv5t	
123	/m/0f2c8g	
124	/m/03jny09	
125	/m/0gdkhr3	
126	/m/0k56qm	
127	/m/0gc46rx	
128	/m/01q_wyj	
129	/m/0gc0mkw	
130	/m/07gm7s	
131	/m/0g4tydl	
132	/m/08ynj7	
133	/m/03jnyld	
134	/m/0fdctd	
135	/m/09gctyq	
136	/m/047twb3	
137	/m/0fdb14	
138	/m/0gbwd90	
139	/m/0g4tydx	
140	/m/0gc8y44	
141	/m/03jny68	
142	/m/02qd2vx	
143	/m/0cmbfw3	
144	/m/03jnxt8	
145	/m/0gdmgc6	
146	/m/03jnybw	
147	/m/03jnydd	
148	/m/0gc83t8	
149	/m/05pvb4j	
150	/m/02xyxp	
151	/m/03jnxvp	
152	/m/03jnxy8	
153	/m/043q4nc	
154	/m/0gc7tpd	
155	/m/06w3ls	
156	/m/06mwbj	
157	/m/03jny0_	
158	/m/026xrvd	
159	/m/0gbxl2y	
160	/m/02q64y2	
161	/m/03jnyhz	
162	/m/07w41wk	
163	/m/02vqm5_	
164	/m/03cd25d	
165	/m/0k56qf	
166	/m/03jnxps	
167	/m/0gcjn9v	
168	/m/0cj0pq	
169	/m/0cg5bly	
170	/m/03jnxxl	
171	/m/0ccjr7	
172	/m/09wn3y	
173	/m/0c03p6l	
174	/m/0d26p8	
175	/m/04mz092	
176	/m/0gbwnxv	
177	/m/03jnxww	
178	/m/03jnxtz	
179	/m/04jn0yf	
180	/m/0bwqq2	
181	/m/0g4tyd8	
182	/m/03jnxrx	
183	/m/01l1b90	
184	/m/02w09gx	
185	/m/03jny2n	
186	/m/03jny3v	
187	/m/03jny6z	
188	/m/03jnyff	
189	/m/08y7b9	
190	/m/03jny7n	
191	/m/0gdl1sz	
192	/m/05cgxx	
193	/m/03d8cc3	
194	/m/03jny56	
195	/m/0gc51t6	
196	/m/03jny4j	
197	/m/03jny8b	
198	/m/03jny1r	
199	/m/01mrs8	
200	/m/0k9j_	Presidential Medal of Freedom,Academy Award for Best Actor,Jean Hersholt Humanitarian Award,Honorary Golden Bear,AFI Life Achievement Award,Golden Globe Award for Best Actor – Motion Picture Drama,Donostia Award,Donostia Award,Golden Globe Cecil B. DeMille Award,Honorary César,Kennedy Center Honors,Henrietta Award,Henrietta Award,Screen Actors Guild Life Achievement Award,Golden Globe Award for Best Actor in a Leading Role,David di Donatello for Best Foreign Actor,Marian Anderson Award,National Medal of Arts,Commandeur des Arts et des Lettres,star on Hollywood Walk of Fame
201	/m/048lv	Academy Award for Best Actor,Academy Award for Best Supporting Actor,MTV Movie Award for Best Villain,Golden Globe Award for Best Actor – Television Series Drama,Tony Award for Best Featured Actor in a Play,Tony Awards,BAFTA Award for Best Actor in a Leading Role,Society of London Theatre Special Award,Knight Commander of the Order of the British Empire,British Academy Television Award for Best International Programme,star on Hollywood Walk of Fame,Laurence Olivier Award
202	/m/0c92y	Academy Award for Best Actor,Tony Award for Best Actor in a Play,Volpi Cup for Best Actor,Donaldson Awards,star on Hollywood Walk of Fame
203	/m/01qscs	Academy Award for Best Supporting Actor,Screen Actors Guild Award,Donostia Award,Silver Bear,Golden Globe Awards,Independent Spirit Award for Best Supporting Male,International Cinephile Society Award for Best Supporting Actor,Cannes Film Festival Award for Best Actor
204	/m/0h1m9	Academy Award for Best Actress,Academy Award for Best Actress,AFI Life Achievement Award,Donostia Award,Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie,Crystal Award,Volpi Cup,Emmy Award,New York Film Critics Circle,Laurel Awards,Saturn Award for Best Supporting Actress,Kennedy Center Honors,star on Hollywood Walk of Fame,Los Angeles Times Women of the Year Silver Cup
205	/m/0hwqz	Academy Award for Best Supporting Actress,BAFTA Award for Best Actress in a Supporting Role,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Disney Legends,Hasty Pudding Woman of the Year,Jupiter Awards,star on Hollywood Walk of Fame
206	/m/02__7n	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Comedy Series,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series,Tony Award for Best Featured Actress in a Play,Tony Award for Best Featured Actress in a Play
207	/m/07kh372	Bavarian Film Awards,Nestroy Award
208	/m/01wc7p	People's Choice Awards,Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie,Golden Globe Awards,Primetime Emmy Award,Golden Globe Award for Best Actress – Television Series Musical or Comedy,Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series,star on Hollywood Walk of Fame,People's Choice Award for Favorite Actress in a New TV Series
209	/m/063gtr	Theatre World Award
210	/m/04x8_g	star on Hollywood Walk of Fame
211	/m/01j5sd	Theatre World Award,IFTA Lifetime Achievement Award,Golden Globe Awards
212	/m/0807ml	Theatre World Award,star on Hollywood Walk of Fame
213	/m/01tnbn	Disney Legends
214	/m/064ktx7	Ernst-Hoferichter-Preis,Mülheimer Dramatikerpreis
215	/m/01dkpb	Henrietta Award,Golden Boot Awards,star on Hollywood Walk of Fame,Purple Heart
216	/m/01jr5h	J. Walter Kennedy Citizenship Award
217	/m/038bht	Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series,star on Hollywood Walk of Fame
218	/m/018swb	Officer of the Order of the British Empire
219	/m/0bqb9n	Knight of the Legion of Honour,Commandeur des Arts et des Lettres
220	/m/0266d2k	Filmfare Awards
221	/m/01pl9g	star on Hollywood Walk of Fame
222	/m/05ztstb	National Prize of East Germany
223	/m/0412scr	Officer of the Order of the British Empire
224	/m/01w170v	Commander of the Order of the British Empire
225	/m/04md2m	Commander of the Order of the British Empire
226	/m/01sg96	star on Hollywood Walk of Fame
227	/m/071ydw	star on Hollywood Walk of Fame
228	/m/013846	star on Hollywood Walk of Fame
229	/m/0f3hp6	star on Hollywood Walk of Fame
230	/m/04x9b0	star on Hollywood Walk of Fame
231	/m/01m5lf	star on Hollywood Walk of Fame
232	/m/0197p7	star on Hollywood Walk of Fame
233	/m/0d1bq3	
234	/m/0gc27kf	
235	/m/0k36s5	
236	/m/03m4wg6	
237	/m/05k4y7	
238	/m/02t_v1	
239	/m/018yhr	
240	/m/058w0c	
241	/m/0bh6gr	
242	/m/03gtq7t	
243	/m/042g8x	
244	/m/0gbyyv0	
245	/m/03gkd7	
246	/m/02_36w	
247	/m/0b3xxx	
248	/m/0jt3m3	
249	/m/0gbyhr9	
250	/m/02jt4y	
251	/m/0gbx5gk	
252	/m/02z5bft	
253	/m/0652ty	
254	/m/033db3	
255	/m/01rjrwm	
256	/m/06rfnb	
257	/m/02lf1j	
258	/m/0gbymnz	
259	/m/013823	
260	/m/0bxppg	
261	/m/0bmcv92	
262	/m/05cl2w	
263	/m/03gtp3c	
264	/m/0fd16g	
265	/m/0415270	
266	/m/0dj2nf2	
267	/m/03dmy0	
268	/m/02ps3gb	
269	/m/09zvk56	
270	/m/0jz5cb	
271	/m/0gc13w6	
272	/m/0b7n19	
273	/m/07g7jw	
274	/m/043cl9	
275	/m/034x61	
276	/m/083p17	
277	/m/0bwb3fp	
278	/m/0bwb3gd	
279	/m/03wlz0	
280	/m/06l0pj	
281	/m/0bwb3f8	
282	/m/0g9z_j9	
283	/m/0gdk2x0	
284	/m/0bqfbt	
285	/m/0byzg7	
286	/m/03qcr2y	
287	/m/0dtd8b	
288	/m/06xz0d	
289	/m/0bwb3g4	
290	/m/01m79cb	
291	/m/026zq2j	
292	/m/01phkr	
293	/m/04lrv3	
294	/m/03yft79	
295	/m/03xxf9j	
296	/m/0bwb3fx	
297	/m/0hpx6x7	
298	/m/0gbwmp3	
299	/m/032wdd	
300	/m/05vsxz	Laurence Olivier Award,BAFTA Award for Best Actor in a Leading Role,Officer of the Order of the British Empire,Commander of the Order of the British Empire,Indiana Film Journalists Association Award for Best Actor
301	/m/07y_r	David di Donatello for Best Actor,Golden Bear,Palme d'Or,Kansas City Film Critics Circle Awards 1972,San Francisco International Film Festival,National Board of Review Award for Best Director,Bodil Awards,Kinema Junpo,Nastro d'Argento for Best Director,Jussi Awards,Nastro d'Argento,National Board of Review Award for Best Film,Nastro d'Argento for Best Screenplay,David di Donatello for Best Director,Nastro d'Argento for Best Actor,Leopard for Best Direction,Blue Ribbon Awards for Best Foreign Film,David di Donatello,Academy Awards,Golden Globe Award for Best Non-English Language Film,Golden Globe Award for Best Non-English Language Film,Golden Globe Awards
302	/m/0c0qw	David di Donatello for Best Actor,Montreal World Film Festival,Princess of Asturias Awards,Silver Shell for Best Actor,Mar del Plata Film Festival,Order of Merit of the Italian Republic,Taormina Film Fest,Globo d'oro,Golden Lion for Lifetime Achievement,Italian Order of Merit for Culture and Art,Nastro d'Argento for Best Supporting Actor,Nastro d'Argento for Best Actor,Nastro d'Argento Special,David di Donatello Award for Lifetime Achievement,Gold Medal of the Italian Order of Merit for Culture and Art,David di Donatello,Cannes Film Festival Award for Best Actor,Donostia Award,Donostia Award,Princess of Asturias Award for the Arts,Grand Officer of the Order of Merit of the Italian Republic,Knight Grand Cross of the Order of Merit of the Italian Republic
303	/m/08r0q3	German Film Award,German Television Award for the Best Actress,Bavarian TV Awards,European Film Award for Best Actress,Jameson People's Choice Award for Best Actress,Cross of the Order of Merit of the Federal Republic of Germany
304	/m/05kh_	National Board of Review Award for Best Film,star on Hollywood Walk of Fame,Academy Award for Best Writing, Original Screenplay,Palme d'Or,Golden Lion,AFI Life Achievement Award,Academy Honorary Award,Commander of the Legion of Honour
305	/m/0l8v5	Saturn Award,MTV Movie & TV Awards
306	/m/02ymv4	Academy Award for Best Supporting Actress
307	/m/0j582	César Award,National Medal of Arts,World War II Victory Medal,Asiatic-Pacific Campaign Medal,American Campaign Medal,Knight of the Legion of Honour,Presidential Medal of Freedom,Golden Bear,Screen Actors Guild Award,AFI Life Achievement Award,Golden Globe Award for Best Actor – Motion Picture Drama,Silver Shell for Best Actor,Golden Globe Cecil B. DeMille Award,Kennedy Center Honors,Screen Actors Guild Life Achievement Award,Honorary César,Academy Honorary Award,star on Hollywood Walk of Fame
308	/m/01ycbq	Queen Elizabeth II Diamond Jubilee Medal,Golden Globe Awards,Queen Elizabeth II Golden Jubilee Medal,Sam Wanamaker Award,Honour in Gold for Services to the Republic of Austria,Honorary doctor of the University of Ottawa,Academy Award for Best Supporting Actor,Theatre World Award,Tony Award for Best Actor in a Musical,Tony Award for Best Actor in a Play,Governor General's Performing Arts Award,Canada's Walk of Fame,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Companion of the Order of Canada,John Willis Award for Lifetime Achievement
309	/m/03g4xn	Lambda Literary Award
310	/m/013bd1	Knight Bachelor,Agatha Award,Commander of the Order of the British Empire
311	/m/0309r1	Clarence Derwent Awards,Primetime Emmy Award for Outstanding Lead Actor in a Drama Series,Primetime Emmy Award for Outstanding Lead Actor in a Drama Series
312	/m/04x93v	Screen Actors Guild Life Achievement Award
313	/m/01w1kyf	Kennedy Center Honors,star on Hollywood Walk of Fame,Academy Award for Best Actress,Golden Globe Award for Best Actress – Motion Picture Drama,Golden Globe Award for Best Actress – Motion Picture Drama,Honorary Golden Bear,AFI Life Achievement Award,Silver Bear for Best Actress,Silver Bear for Best Actress,Golden Globe Cecil B. DeMille Award,BAFTA Award for Best Actress in a Leading Role,BAFTA Award for Best Actress in a Leading Role,Golden Globe Award for New Star of the Year – Actress,Volpi Cup for Best Actress,Volpi Cup for Best Actress,GLAAD Vanguard Award,Primetime Emmy Award for Outstanding Variety, Music, or Comedy Special,Hasty Pudding Woman of the Year,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Knight of the Legion of Honour,Crystal Award
314	/m/05vvl1	Filmfare Awards South
315	/m/05j12n	Kerala State Film Award for Best Actor,National Film Award for Best Actor
316	/m/0hvb2	Order of Danica Hrvatska,star on Hollywood Walk of Fame,Thomas Merton Award,Thomas Merton Award,Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series,Silver Shell for Best Actor,Golden Globe Award for Best Actor – Television Series Drama,Laetare Medal,Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series
317	/m/0fcj4	Officer of the Order of the British Empire
318	/m/012g92	Commandeur des Arts et des Lettres,César Award for Best Actress,César Award for Best Actress,Golden Globe Award for Best Actress – Motion Picture Drama,Honorary Golden Bear,Lumières Award for Best Actress,Lumières Award for Best Actress,Lumières Award for Best Actress,Lumières Award for Best Actress,Silver Bear for Outstanding Artistic Contribution,European Film Award for Best Actress,European Film Award for Best Actress,European Film Academy Achievement in World Cinema Award,David di Donatello for Best Foreign Actress,Europe Theatre Prize,Independent Spirit Award for Best Female Lead,Golden Lion for Lifetime Achievement,Volpi Cup for Best Actress,Volpi Cup for Best Actress,BAFTA Award for Most Promising Newcomer to Leading Film Roles,San Francisco Bay Area Film Critics Circle Award for Best Actress,Cannes Film Festival Award for Best Actress,Cannes Film Festival Award for Best Actress,Donostia Award,Chlotrudis Award for Best Supporting Actress,Chlotrudis Award for Best Actress,Officer of the Legion of Honour,Commander of the National Order of Merit
319	/m/0lcf1	star on Hollywood Walk of Fame,Volpi Cup for Best Actor
320	/m/02_wnq	star on Hollywood Walk of Fame
321	/m/022q4j	star on Hollywood Walk of Fame
322	/m/02qn4z	star on Hollywood Walk of Fame
323	/m/04f6fn	star on Hollywood Walk of Fame,Golden Globe Award for Best Supporting Actor – Motion Picture
324	/m/03fpwp	star on Hollywood Walk of Fame
325	/m/039whv	Academy Award for Best Supporting Actress,Theatre World Award
326	/m/0gd2n3	Theatre World Award
327	/m/02qjkcy	American Book Awards
328	/m/03h5fvf	Theatre World Award
329	/m/03zyvw	Golden Globe Award for Best Supporting Actress – Series, Miniseries or Television Film,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series
330	/m/025z88d	Primetime Emmy Award for Outstanding Directing for a Comedy Series,Primetime Emmy Award for Outstanding Directing for a Comedy Series
331	/m/055jj1	Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series
332	/m/02q3h_p	National Film Award for Best Supporting Actor
333	/m/07f3xb	Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series
334	/m/03xk1_	Commander of the Order of the British Empire
335	/m/03yhc3	Time Machine Award
336	/m/04n2_0f	
337	/m/0gc7bhf	
338	/m/01z0p8w	
339	/m/0gb_czr	
340	/m/038xl6	
341	/m/0gchxbs	
342	/m/0gbzvqn	
343	/m/05wxj_z	
344	/m/05p05y3	
345	/m/0gc4h6t	
346	/m/0c6mv6	
347	/m/03_nv3	
348	/m/0gc4xh1	
349	/m/07s8ksr	
350	/m/0gc80lv	
351	/m/05qzxw	
352	/m/01k109	
353	/m/0bxnq4	
354	/m/027lhzz	
355	/m/09g8835	
356	/m/01qn8k	
357	/m/0gch_ws	
358	/m/04yg_0x	
359	/m/01wb7j_	
360	/m/0jtcrj	
361	/m/0cnxwrq	
362	/m/05pqxk	
363	/m/0j1wnb5	
364	/m/03cccpg	
365	/m/0gc4tw7	
366	/m/03l3ln	
367	/m/0gcxktp	
368	/m/0b7bwqw	
369	/m/0gbymbx	
370	/m/0k36ss	
371	/m/02rqyvw	
372	/m/0d6b35	
373	/m/0gcbkl_	
374	/m/05qtcv	
375	/m/0k36sl	
376	/m/01xq7p	
377	/m/0c5qr	
378	/m/0gcj27h	
379	/m/026_y_d	
380	/m/0gc0szf	
381	/m/0j1wnc8	
382	/m/04gl1d0	
383	/m/0gc4v9r	
384	/m/04mz6m8	
385	/m/05xl3r	
386	/m/0gr66w	
387	/m/0gbxqtt	
388	/m/03c0g4b	
389	/m/0gbwz67	
390	/m/02_tv5	
391	/m/0gbwskz	
392	/m/0gbxbck	
393	/m/0gbwy_h	
394	/m/0gc5szl	
395	/m/0gcybh7	
396	/m/03y8mf2	
397	/m/04gqlx0	
398	/m/027kj6l	
399	/m/02wb_59	
400	/m/02r_d4	Satellite Awards,star on Hollywood Walk of Fame,Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series,Golden Globe Awards
401	/m/06s6xv	Filmfare Awards,IIFA Lifetime Achievement Award
402	/m/0bj9k	10th Screen Actors Guild Awards,Goldene Kamera 2013,Academy Awards,Academy Award for Best Actor,Golden Globe Award for Best Actor – Miniseries or Television Film,Golden Globe Award for Best Actor – Miniseries or Television Film,AFI Life Achievement Award,BAFTA Award for Best Actor in a Leading Role,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Cecil B. DeMille Award,Donostia Award,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Theatre World Award,Tony Award for Best Actor in a Play,Kennedy Center Honors,Tony Award for Best Featured Actor in a Play,National Medal of Arts,National Board of Review Award for Best Supporting Actor,National Board of Review Award for Best Actor,National Society of Film Critics Award for Best Actor,Golden Lion for Lifetime Achievement,Directors Guild of America Award for Outstanding Directing – Documentaries
403	/m/029m83	National Board of Review Award for Best Film,Academy Award for Best Director,Academy Award for Best Picture,Primetime Emmy Award for Outstanding Directing for a Drama Series,Berlinale Camera,Golden Globe Award for Best Motion Picture – Drama
404	/m/02wmbg	Filmfare Awards South,Tamil Nadu State Film Awards,Padma Bhushan,Padma Vibhushan,Dadasaheb Phalke Award
