	freebase_ids	nominations
0	/m/0kcn7	Academy Award for Best Actress,Academy Award for Best Writing, Adapted Screenplay,Academy Award for Best Film Editing,Academy Award for Best Original Score,Academy Award for Best Sound,Academy Award for Best Cinematography, Color,Academy Award for Best Costume Design, Color,Academy Award for Best Score, Adaptation or Treatment,Academy Award for Best Picture,Academy Award for Best Director,Academy Award for Best Art Direction, Color,Academy Award for Best Visual Effects
1	/m/016ywb	Academy Award for Best Actor,Academy Award for Best Costume Design,BAFTA Award for Best Actor in a Leading Role,BAFTA Award for Best Sound,BAFTA Award for Best Direction,European Film Award for Best Actor,Young European Film of the Year,Academy Award for Best Director
2	/m/017n1b	Academy Award for Best Actress
3	/m/017n1p	Academy Award for Best Actress
4	/m/02qc0j7	Academy Award for Best Picture,Academy Award for Best Production Design,Academy Award for Best Film Editing,Academy Award for Best Story,Academy Award for Best Score, Adaptation or Treatment
5	/m/04x8zs	Academy Award for Best Supporting Actor,Academy Award for Best Cinematography, Black-and-White
6	/m/04wy0v	Academy Award for Best Supporting Actor
7	/m/0b6c_nw	AACTA Award for Best Film,AACTA Award for Best Actor in a Supporting Role,AACTA Award for Best Editing,AACTA Award for Best Original Screenplay,AACTA Award for Best Production Design
8	/m/047t9rb	Academy Award for Best Short Subject, Novelty
9	/m/01mrr1	International Submission to the Academy Awards
10	/m/05f6kpj	International Submission to the Academy Awards
11	/m/0crgdbh	
12	/m/0gj93w4	
13	/m/03grb4v	
14	/m/01p0lg	
15	/m/03ymtlq	
16	/m/04zyc0t	
17	/m/0fdc85	
18	/m/09rzk6	
19	/m/05p45cv	
20	/m/0g4_n3m	
21	/m/0by1_ff	
22	/m/0gjd9q4	
23	/m/0kv1zq	
24	/m/07s63_7	
25	/m/04cqrs4	
26	/m/0gffwj	
27	/m/04j0lfk	
28	/m/03c0d85	
29	/m/0gyv1h1	
30	/m/075f66	
31	/m/02wjqm	
32	/m/03vyhn	
33	/m/0crvlhb	
34	/m/02q74ng	
35	/m/0dll97s	
36	/m/07v6f3	
37	/m/02pjlrp	
38	/m/0523t_1	
39	/m/0g4zl4c	
40	/m/05b6cft	
41	/m/014k4y	
42	/m/0dyy_v	
43	/m/02pml15	
44	/m/0gyryjt	
45	/m/0bh9fbk	
46	/m/0h964n1	
47	/m/06_y2j7	
48	/m/07h9zj	
49	/m/03cfc81	
50	/m/04jcqvw	
51	/m/02r52hc	
52	/m/03c_x01	
53	/m/06_vg9f	
54	/m/0cws46	
55	/m/01mrrd	
56	/m/04m_wkg	
57	/m/04j1nd9	
58	/m/05p89qm	
59	/m/04mhwd	
60	/m/061l7z	
61	/m/0gh8wn7	
62	/m/05pckh0	
63	/m/0gh7n22	
64	/m/02vlsqt	
65	/m/0gjd9qv	
66	/m/0g5qvzg	
67	/m/05f5_5y	
68	/m/02rm6l8	
69	/m/04q6md9	
70	/m/0b6kc_5	
71	/m/0h10pz	
72	/m/0bm9993	
73	/m/02vlbrf	
74	/m/0gy0wck	
75	/m/0gj30jx	
76	/m/05c4bry	
77	/m/0fc8w8	
78	/m/02w1jsk	
79	/m/02vn81r	
80	/m/05b0lk8	
81	/m/03cfwy4	
82	/m/080bxrj	
83	/m/02rc_h4	
84	/m/0crx1wl	
85	/m/0gj8s31	
86	/m/0gg5xnj	
87	/m/02r8pmz	
88	/m/05bzp6g	
89	/m/08yl5d	
90	/m/04j284s	
91	/m/0f400r	
92	/m/0734w5	
93	/m/02x4zpv	
94	/m/0f0d1p	
95	/m/06_y54s	
96	/m/0285_cd	
97	/m/0fq260_	
98	/m/07kjkz6	
99	/m/0kv612	
100	/m/015wmg	Academy Award for Best Writing, Original Screenplay,Academy Award for Best Actor
101	/m/04dld6	Academy Award for Best Writing, Original Screenplay,Academy Award for Best Director,Academy Award for Best International Feature Film,International Submission to the Academy Awards
102	/m/0fp_syp	Academy Award for Best Animated Short Film
103	/m/03_wh5	European Film Award for Best Cinematographer
104	/m/03813g	European Film Award for Best Non-European Film,International Submission to the Academy Awards
